"member_state","url","search","hits"
"Gambia","http://www.un.org/depts/dhl/unms/gambia.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Gambia",971
"Georgia","http://www.un.org/depts/dhl/unms/georgia.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Georgia",1075
"Germany","http://www.un.org/depts/dhl/unms/germany.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Germany",4171
"Ghana","http://www.un.org/depts/dhl/unms/ghana.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Ghana",1832
"Greece","http://www.un.org/depts/dhl/unms/greece.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Greece",3599
"Grenada","http://www.un.org/depts/dhl/unms/grenada.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Grenada",698
"Guatemala","http://www.un.org/depts/dhl/unms/guatemala.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Guatemala",2461
"Guinea","http://www.un.org/depts/dhl/unms/guinea.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&ri=&index=.TW&term=%22draft+resolution%22&matchopt=0%7C0&oper=and&x=14&y=8&aspect=power&index=.AW&term=Guinea",2882
"Guinea-Bissau","http://www.un.org/depts/dhl/unms/guineabissau.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=%22Guinea-Bissau%22",1046
"Guyana","http://www.un.org/depts/dhl/unms/guyana.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Guyana",1307
"Haiti","http://www.un.org/depts/dhl/unms/haiti.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Haiti",1244
"Honduras","http://www.un.org/depts/dhl/unms/honduras.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Honduras",1686
"Hungary","http://www.un.org/depts/dhl/unms/hungary.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Hungary",3248
"Iceland","http://www.un.org/depts/dhl/unms/iceland.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Iceland",2170
"India","http://www.un.org/depts/dhl/unms/india.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=India",3067
"Indonesia","http://www.un.org/depts/dhl/unms/indonesia.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Indonesia",3206
"Iran (Islamic Republic of)","http://www.un.org/depts/dhl/unms/iranislamicrepublicof.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Iran",1439
"Iraq","http://www.un.org/depts/dhl/unms/iraq.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Iraq",1294
"Ireland","http://www.un.org/depts/dhl/unms/ireland.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Ireland",3304
"Israel","http://www.un.org/depts/dhl/unms/israel.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Israel",1047
"Italy","http://www.un.org/depts/dhl/unms/italy.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Italy",4371
"Jamaica","http://www.un.org/depts/dhl/unms/jamaica.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Jamaica",1412
"Japan","http://www.un.org/depts/dhl/unms/japan.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Japan",2859
"Jordan","http://www.un.org/depts/dhl/unms/jordan.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Jordan",2207
"Kazakhstan","http://www.un.org/depts/dhl/unms/kazakhstan.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Kazakhstan",778
"Kenya","http://www.un.org/depts/dhl/unms/kenya.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Kenya",2041
"Kiribati","http://www.un.org/depts/dhl/unms/kiribati.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Kiribati",23
"Kuwait","http://www.un.org/depts/dhl/unms/kuwait.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Kuwait",1482
"Kyrgyzstan","http://www.un.org/depts/dhl/unms/kyrgyzstan.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Kyrgyzstan",617
"Lao People's Democratic Republic","http://www.un.org/depts/dhl/unms/laopeoplesdemocraticrepublic.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.AW&term=%22Lao+People's+Democratic+Republic%22+OR+Laos&index=.TW&term=%22draft+resolution%22",964
"Latvia","http://www.un.org/depts/dhl/unms/latvia.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Latvia",1603
"Lebanon","http://www.un.org/depts/dhl/unms/lebanon.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Lebanon",1230
"Lesotho","http://www.un.org/depts/dhl/unms/lesotho.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Lesotho",1084
"Liberia","http://www.un.org/depts/dhl/unms/liberia.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Liberia",1066
"Libya","http://www.un.org/depts/dhl/unms/libya.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.AW&term=%22Libyan+Arab+Jamahiriya%22+OR+Libya&index=.TW&term=%22draft+resolution%22",1774
"Liechtenstein","http://www.un.org/depts/dhl/unms/liechtenstein.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Liechtenstein",1512
"Lithuania","http://www.un.org/depts/dhl/unms/lithuania.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Lithuania",1838
"Luxembourg","http://www.un.org/depts/dhl/unms/luxembourg.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Luxembourg",2951
"Madagascar","http://www.un.org/depts/dhl/unms/madagascar.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Madagascar",2393
"Malawi","http://www.un.org/depts/dhl/unms/malawi.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Malawi",738
